CELLNAME;NumSteps;InnerRadius;OuterRadius;LATITUDE;LONGITUDE;ANT_HEIGHT;ANT_AZIMUTH
4A16X019_98;5;0;120;36.77334;3.05842;30;160
4A16X019_99;5;0;120;36.77334;3.05842;30;230
4A16X021_97;5;0;120;36.76797;3.05594;30;40
4A16X021_98;5;0;120;36.76797;3.05594;30;160
4A16X021_99;5;0;120;36.76797;3.05594;30;270
4A16X022_97;5;0;120;36.77038;3.05499;30;30
4A16X022_98;5;0;120;36.77038;3.05499;30;170
4A16X022_99;5;0;120;36.77038;3.05499;30;270
4A16X023_97;5;0;120;36.7828;3.0269;30;90
4A16X023_98;5;0;120;36.7828;3.0269;30;240
4A16X023_99;5;0;120;36.7828;3.0269;30;330
4A16X024_100;5;0;120;36.7638;3.04892;30;220
4A16X024_97;5;0;120;36.7638;3.04892;30;30
4A16X024_98;5;0;120;36.7638;3.04892;30;150
4A16X024_99;5;0;120;36.7638;3.04892;30;270
4A16X025_97;5;0;120;36.76227;3.05629;30;150
4A16X025_98;5;0;120;36.76227;3.05629;30;240
4A16X025_99;5;0;120;36.76227;3.05629;30;330
4A16X026_100;5;0;120;36.766821;3.053298;30;310
4A16X026_97;5;0;120;36.766821;3.053298;30;30
4A16X026_98;5;0;120;36.766821;3.053298;30;120
4A16X026_99;5;0;120;36.766821;3.053298;30;220
4A16X027_97;5;0;120;36.7625;3.03885;30;190
4A16X027_98;5;0;120;36.7625;3.03885;30;260
4A16X028_100;5;0;120;36.75599;3.06521;30;320
4A16X028_97;5;0;120;36.75599;3.06521;30;120
4A16X028_98;5;0;120;36.75599;3.06521;30;180
4A16X028_99;5;0;120;36.75599;3.06521;30;250
4A16X029_97;5;0;120;36.74836;3.07183;30;125
4A16X029_98;5;0;120;36.74836;3.07183;30;210
4A16X029_99;5;0;120;36.74836;3.07183;30;300
4A16X030_97;5;0;120;36.79994;2.91305;30;80
4A16X030_98;5;0;120;36.79994;2.91305;30;220
4A16X030_99;5;0;120;36.79994;2.91305;30;300
4A16X031_100;5;0;120;36.769091;3.011292;30;290
4A16X031_97;5;0;120;36.769091;3.011292;30;30
4A16X031_98;5;0;120;36.769091;3.011292;30;110
4A16X031_99;5;0;120;36.769091;3.011292;30;210
4A16X032_97;5;0;120;36.70287;2.8339;30;80
4A16X032_98;5;0;120;36.70287;2.8339;30;180
4A16X032_99;5;0;120;36.70287;2.8339;30;310
4A16X033_97;5;0;120;36.81047;2.95427;30;80
4A16X033_98;5;0;120;36.81047;2.95427;30;250
4A16X034_97;5;0;120;36.75521;3.0081;30;0
4A16X034_98;5;0;120;36.75521;3.0081;30;120
4A16X034_99;5;0;120;36.75521;3.0081;30;265
4A16X035_100;5;0;120;36.78138;2.98279;30;300
4A16X035_97;5;0;120;36.78138;2.98279;30;30
4A16X035_98;5;0;120;36.78138;2.98279;30;120
4A16X035_99;5;0;120;36.78138;2.98279;30;230
4A16X036_100;5;0;120;36.76587;3.0301;30;120
4A16X036_97;5;0;120;36.76587;3.0301;30;50
4A16X036_98;5;0;120;36.76587;3.0301;30;180
4A16X036_99;5;0;120;36.76587;3.0301;30;300
4A16X037_97;5;0;120;36.75697;2.96683;30;40
4A16X037_98;5;0;120;36.75697;2.96683;30;190
4A16X037_99;5;0;120;36.75697;2.96683;30;290
4A16X038_97;5;0;120;36.7462;2.8963;30;30
4A16X038_98;5;0;120;36.7462;2.8963;30;160
4A16X038_99;5;0;120;36.7462;2.8963;30;300
4A16X039_97;5;0;120;36.74564;3.04159;30;140
4A16X039_98;5;0;120;36.74564;3.04159;30;250
4A16X039_99;5;0;120;36.74564;3.04159;30;330
4A16X040_97;5;0;120;36.73819;3.02958;30;0
4A16X040_98;5;0;120;36.73819;3.02958;30;110
4A16X040_99;5;0;120;36.73819;3.02958;30;200
4A16X041_97;5;0;120;36.80937;3.03835;30;160
4A16X041_98;5;0;120;36.80937;3.03835;30;250
4A16X042_97;5;0;120;36.8175;3.00926;30;130
4A16X042_98;5;0;120;36.8175;3.00926;30;240
4A16X042_99;5;0;120;36.8175;3.00926;30;40
4A16X043_97;5;0;120;36.726;2.83667;30;30
4A16X043_98;5;0;120;36.726;2.83667;30;130
4A16X043_99;5;0;120;36.726;2.83667;30;210
4A16X044_97;5;0;120;36.7631;2.84606;30;130
4A16X044_98;5;0;120;36.7631;2.84606;30;230
4A16X044_99;5;0;120;36.7631;2.84606;30;325
4A16X045_97;5;0;120;36.7488;3.02885;30;70
